Time,Time_Period,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Exp_Order,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Cause_of_accident,Accident_severity
14:40:00,Afternoon,Saturday,18-30,Male,Above High School,Owner,1-2,2,Public Transport,Owner,Unknown,No Defect,Residential area,Other,Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Changing lane to the left,Serious Injury
14:40:00,Afternoon,Saturday,31-50,Male,Above High School,Employee,No License,6,Automobile,Owner,Unknown,No Defect,Office area,Two Way (Undivided),Flat Road,No junction,Earth roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Male,18-30,Slight,Driver,Normal,No priority to pedestrian,Serious Injury
17:45:00,Evening,Thursday,18-30,Male,Junior High School,Employee,1-2,2,Public Transport,Owner,2-5 years,No Defect,Office area,Divided Road,Other,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,No distancing,Slight Injury
17:45:00,Evening,Thursday,31-50,Male,Junior High School,Employee,5-10,4,Lorry,Owner,Above 10 years,No Defect,Office area,Other,Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Waiting to go,Unspecified,Unknown,Unknown,No Injury,Other,Normal,No priority to vehicle,Slight Injury
17:45:00,Evening,Thursday,31-50,Male,Junior High School,Employee,10-20,5,Automobile,Owner,1-2 years,No Defect,Office area,Two Way (Undivided),Other,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,Driver or rider,Female,18-30,Slight,Driver,Unknown,No distancing,Serious Injury
22:45:00,Night,Monday,18-30,Female,Junior High School,Employee,10-20,5,Lorry,Owner,Unknown,No Defect,Office area,One Way,Flat Road,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,No distancing,Serious Injury
22:45:00,Night,Monday,18-30,Male,Junior High School,Owner,5-10,4,Public Transport,Owner,Unknown,No Defect,Office area,Two Way (Undivided),Flat Road,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Moving Backward,Slight Injury
22:45:00,Night,Monday,18-30,Male,Elementary School,Employee,2-5,3,Public Transport,Owner,Unknown,No Defect,Office area,Other,Flat Road,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Changing lane to the right,Serious Injury
22:45:00,Night,Monday,18-30,Male,Junior High School,Employee,2-5,3,Unknown,Owner,Above 10 years,No Defect,Residential area,Other,Flat Road,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Moving Backward,Unspecified,Unknown,Unknown,No Injury,Unemployed,Normal,No priority to pedestrian,Slight Injury
8:20:00,Morning,Tuesday,18-30,Male,Junior High School,Employee,0-1,1,Lorry,Owner,5-10 years,No Defect,Residential area,One Way,Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Male,Under 18,Slight,Driver,Normal,Moving Backward,Serious Injury
8:20:00,Morning,Tuesday,0-17,Male,Junior High School,Employee,2-5,3,Lorry,Owner,Unknown,No Defect,Other,One Way,Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Getting off the vehicle improperly,Slight Injury
15:10:00,Afternoon,Thursday,18-30,Male,Junior High School,Employee,2-5,3,Lorry,Owner,5-10 years,No Defect,Church area,Two Way (Undivided),Flat Road,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Moving Backward,Driver or rider,Male,18-30,Slight,Driver,Normal,Overtaking,Serious Injury
12:11:00,Afternoon,Thursday,18-30,Male,Elementary School,Employee,5-10,4,Lorry,Owner,Unknown,No Defect,Recreational area,Other,Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Other,2,1,Getting off,Passenger,Female,31-50,Slight,Driver,Normal,Overloading,Serious Injury
12:11:00,Afternoon,Thursday,31-50,Male,Junior High School,Employee,10-20,5,Public Transport,Owner,Unknown,Unknown,Industrial area,Two Way (Undivided),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Passenger,Male,18-30,Slight,Employee,Normal,Changing lane to the right,Serious Injury
18:36:00,Evening,Wednesday,18-30,Male,Junior High School,Unknown,No License,6,Unknown,Owner,Unknown,Unknown,Residential area,Other,Unknown,Crossing,Asphalt roads with some distress,Dry,Daylight,Normal,Collision with animals,2,3,Turnover,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Improper parking,Slight Injury
18:36:00,Evening,Wednesday,18-30,Male,Junior High School,Employee,2-5,3,Taxi,Owner,Above 10 years,No Defect,Residential area,Other,Rolling Terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,3,Going straight,Driver or rider,Female,31-50,Slight,Self-employed,Normal,Other,Slight Injury
18:36:00,Evening,Wednesday,18-30,Others,Junior High School,Employee,5-10,4,Unknown,Owner,2-5 years,No Defect,Office area,Divided Road,Flat Road,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,3,Going straight,Pedestrian,Male,Under 18,Slight,Driver,Normal,Changing lane to the left,Slight Injury
14:35:00,Afternoon,Friday,18-30,Male,Above High School,Employee,2-5,3,Automobile,Owner,2-5 years,No Defect,Market area,Two Way (Undivided),Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Unknown,Changing lane to the right,Slight Injury
12:25:00,Afternoon,Tuesday,51-100,Others,Junior High School,Unknown,No License,6,Unknown,Owner,Unknown,Unknown,Unknown,Other,Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,Slight,Driver,Normal,No priority to pedestrian,Slight Injury
12:25:00,Afternoon,Tuesday,18-30,Male,Junior High School,Employee,1-2,2,Lorry,Owner,Unknown,No Defect,Industrial area,Other,Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,Serious,Driver,Unknown,Overspeed,Slight Injury
15:30:00,Afternoon,Monday,18-30,Male,Junior High School,Employee,2-5,3,Automobile,Owner,Unknown,No Defect,Residential area,Two Way (Divided - Solid Line),Flat Road,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Unknown,Changing lane to the left,Slight Injury
18:10:00,Evening,Thursday,18-30,Male,Junior High School,Employee,10-20,5,Automobile,Governmental,Below 1 year,No Defect,Residential area,Two Way (Undivided),Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,Male,18-30,Slight,Driver,Normal,No priority to vehicle,Slight Injury
15:25:00,Afternoon,Thursday,18-30,Male,Junior High School,Employee,0-1,1,Lorry,Owner,5-10 years,No Defect,Other,Two Way (Undivided),Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Passenger,Female,18-30,Slight,Driver,Normal,Changing lane to the right,Slight Injury
15:25:00,Afternoon,Thursday,31-50,Others,Junior High School,Employee,2-5,3,Automobile,Governmental,Unknown,No Defect,Residential area,Other,Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,No distancing,Slight Injury
13:57:00,Afternoon,Saturday,51-100,Male,Junior High School,Employee,0-1,1,Automobile,Owner,1-2 years,No Defect,Rural area,Two Way (Undivided),Gentle Curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Female,18-30,Slight,Driver,Normal,No priority to pedestrian,Slight Injury
13:57:00,Afternoon,Saturday,18-30,Male,High School,Employee,5-10,4,Automobile,Owner,2-5 years,No Defect,Rural area,Two Way (Undivided),Gentle Curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,Slight,Driver,Normal,No distancing,Slight Injury
20:30:00,Evening,Friday,18-30,Male,Above High School,Employee,1-2,2,Taxi,Owner,Unknown,No Defect,Office area,Divided Road,Flat Road,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,No priority to vehicle,Slight Injury
20:30:00,Evening,Friday,51-100,Male,Junior High School,Employee,0-1,1,Unknown,Owner,2-5 years,No Defect,Residential area,Two Way (Undivided),Gentle Curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,Driver or rider,Female,18-30,Serious,Driver,Normal,Other,Slight Injury
20:30:00,Evening,Friday,51-100,Male,Junior High School,Unknown,No License,6,Unknown,Owner,Unknown,Unknown,Residential area,Other,Flat Road,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Driving carelessly,Slight Injury
16:30:00,Afternoon,Sunday,51-100,Male,High School,Employee,0-1,1,Automobile,Owner,Unknown,Defect Present,Outside rural area,Other,Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,18-30,Slight,Employee,Normal,Changing lane to the left,Slight Injury
16:30:00,Afternoon,Sunday,31-50,Male,High School,Employee,0-1,1,Other,Owner,Above 10 years,Unknown,Residential area,Other,Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Driving carelessly,Slight Injury
21:50:00,Night,Sunday,31-50,Male,Junior High School,Unknown,No License,6,Unknown,Owner,5-10 years,Defect Present,Church area,Other,Flat Road,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,31-50,Slight,Driver,Unknown,Changing lane to the left,Slight Injury
21:50:00,Night,Sunday,18-30,Male,High School,Employee,2-5,3,Automobile,Owner,Unknown,No Defect,Office area,Two Way (Undivided),Flat Road,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,18-30,Slight,Driver,Normal,No priority to vehicle,Slight Injury
9:12:00,Morning,Wednesday,18-30,Male,Junior High School,Employee,10-20,5,Public Transport,Owner,Unknown,No Defect,Office area,Two Way (Divided - Broken Line),Mountainous Terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,Slight,Self-employed,Unknown,No distancing,Slight Injury
9:12:00,Morning,Wednesday,18-30,Male,Junior High School,Employee,10-20,5,Public Transport,Governmental,Unknown,No Defect,Office area,Two Way (Divided - Broken Line),Other,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Under 18,Slight,Driver,Normal,Changing lane to the right,Slight Injury
14:40:00,Afternoon,Friday,31-50,Male,Junior High School,Employee,5-10,4,Lorry,Owner,2-5 years,Unknown,Other,Two Way (Undivided),Mountainous Terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Self-employed,Unknown,Changing lane to the right,Serious Injury
10:36:00,Morning,Friday,31-50,Male,Junior High School,Employee,1-2,2,Station Wagon,Owner,2-5 years,Unknown,Other,Two Way (Undivided),Flat Road,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Driving at high speed,Slight Injury
10:36:00,Morning,Friday,31-50,Male,Unknown,Employee,0-1,1,Animal Transport,Owner,Unknown,No Defect,Residential area,Two Way (Divided - Broken Line),Flat Road,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,Slight,Self-employed,Unknown,No distancing,Slight Injury
18:19:00,Evening,Monday,18-30,Male,Junior High School,Employee,0-1,1,Station Wagon,Owner,Unknown,Unknown,Other,Two Way (Divided - Broken Line),Flat Road,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Unknown,Changing lane to the right,Slight Injury
18:19:00,Evening,Monday,18-30,Male,High School,Employee,2-5,3,Automobile,Owner,Below 1 year,Unknown,Other,Two Way (Undivided),Flat Road,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,Serious,Driver,Normal,Changing lane to the left,Slight Injury
19:12:00,Evening,Tuesday,18-30,Male,Junior High School,Owner,1-2,2,Automobile,Owner,5-10 years,Unknown,Other,Two Way (Divided - Broken Line),Flat Road,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,Slight,Self-employed,Normal,Getting off the vehicle improperly,Slight Injury
19:12:00,Evening,Tuesday,31-50,Male,Junior High School,Employee,5-10,4,Other,Governmental,5-10 years,No Defect,Other,Two Way (Undivided),Flat Road,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Employee,Normal,Other,Slight Injury
11:38:00,Morning,Saturday,51-100,Male,Elementary School,Employee,2-5,3,Taxi,Owner,2-5 years,No Defect,Other,Divided Road,Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,3,Going straight,Driver or rider,Male,31-50,Slight,Other,Normal,Other,Slight Injury
11:38:00,Morning,Saturday,31-50,Male,Elementary School,Owner,5-10,4,Automobile,Owner,Unknown,No Defect,Other,Two Way (Divided - Broken Line),Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,31-50,Slight,Employee,Unknown,No distancing,Slight Injury
11:38:00,Morning,Saturday,31-50,Male,Junior High School,Employee,10-20,5,Station Wagon,Owner,2-5 years,Unknown,Church area,Two Way (Divided - Broken Line),Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,No priority to vehicle,Slight Injury
11:38:00,Morning,Saturday,18-30,Others,Junior High School,Employee,5-10,4,Automobile,Owner,5-10 years,Unknown,Other,Two Way (Undivided),Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Passenger,Female,18-30,Slight,Employee,Unknown,Overtaking,Slight Injury
13:30:00,Afternoon,Thursday,18-30,Male,High School,Employee,5-10,4,Public Transport,Organization,2-5 years,Unknown,Industrial area,Two Way (Divided - Broken Line),Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Driver or rider,Male,31-50,Slight,Driver,Normal,No priority to pedestrian,Slight Injury
13:30:00,Afternoon,Thursday,31-50,Male,Junior High School,Employee,5-10,4,Unknown,Owner,Unknown,No Defect,Residential area,Divided Road,Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Employee,Normal,No distancing,Slight Injury
12:39:00,Afternoon,Tuesday,18-30,Others,Junior High School,Employee,10-20,5,Automobile,Governmental,Above 10 years,No Defect,Other,Two Way (Divided - Broken Line),Flat Road,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Employee,Normal,Changing lane to the right,Slight Injury
12:39:00,Afternoon,Tuesday,51-100,Male,Junior High School,Unknown,1-2,2,Lorry,Owner,Unknown,No Defect,Office area,Two Way (Divided - Broken Line),Flat Road,Unknown,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,Slight,Employee,Normal,Driving carelessly,Slight Injury
12:30:00,Afternoon,Friday,18-30,Male,Junior High School,Employee,2-5,3,Unknown,Owner,Unknown,No Defect,Industrial area,Unknown,Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Changing lane to the right,Slight Injury
12:30:00,Afternoon,Friday,31-50,Male,Junior High School,Employee,1-2,2,Public Transport,Owner,1-2 years,No Defect,Industrial area,Divided Road,Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Overtaking,Slight Injury
16:55:00,Afternoon,Sunday,31-50,Male,Junior High School,Unknown,No License,6,Unknown,Owner,Unknown,No Defect,Other,Two Way (Divided - Broken Line),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Under 18,Slight,Student,Normal,Other,Slight Injury
16:55:00,Afternoon,Sunday,31-50,Male,Elementary School,Employee,5-10,4,Public Transport,Organization,Above 10 years,Unknown,Hospital area,Two Way (Divided - Broken Line),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Driving to the left,Slight Injury
18:25:00,Evening,Monday,Unknown,Female,Junior High School,Employee,5-10,4,Public Transport,Owner,Unknown,Unknown,Office area,One Way,Flat Road,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,Slight,Self-employed,Unknown,Driving at high speed,Slight Injury
18:25:00,Evening,Monday,31-50,Male,Junior High School,Employee,10-20,5,Automobile,Owner,2-5 years,No Defect,Church area,Two Way (Undivided),Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,31-50,Slight,Driver,Unknown,Unknown,Slight Injury
13:01:00,Afternoon,Thursday,31-50,Others,Junior High School,Employee,2-5,3,Unknown,Organization,5-10 years,No Defect,Hospital area,Two Way (Undivided),Mountainous Terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,31-50,Slight,Driver,Normal,Changing lane to the right,Slight Injury
13:01:00,Afternoon,Thursday,18-30,Male,Junior High School,Owner,10-20,5,Automobile,Owner,Above 10 years,No Defect,Office area,Other,Flat Road,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,Driver or rider,Male,18-30,Slight,Driver,Normal,No distancing,Slight Injury
13:45:00,Afternoon,Wednesday,18-30,Male,Junior High School,Employee,2-5,3,Lorry,Owner,2-5 years,No Defect,Other,Two Way (Divided - Broken Line),Other,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Other,Slight Injury
13:45:00,Afternoon,Wednesday,31-50,Male,Elementary School,Other,5-10,4,Public Transport,Owner,1-2 years,Unknown,Office area,Two Way (Undivided),Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,Slight,Driver,Normal,No priority to vehicle,Slight Injury
18:45:00,Evening,Monday,18-30,Male,Elementary School,Employee,5-10,4,Lorry,Owner,2-5 years,Unknown,Office area,Two Way (Divided - Broken Line),Mountainous Terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,Passenger,Male,18-30,Slight,Driver,Unknown,Changing lane to the left,Slight Injury
18:45:00,Evening,Monday,31-50,Male,Junior High School,Unknown,5-10,4,Automobile,Owner,Unknown,No Defect,Other,Divided Road,Steep Downward,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,No priority to pedestrian,Slight Injury
11:02:00,Morning,Thursday,31-50,Male,Junior High School,Employee,5-10,4,Automobile,Owner,1-2 years,No Defect,Office area,Two Way (Undivided),Flat Road,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Male,18-30,Slight,Driver,Normal,Overtaking,Slight Injury
11:02:00,Morning,Thursday,31-50,Male,Elementary School,Employee,10-20,5,Automobile,Owner,Unknown,No Defect,Residential area,Two Way (Undivided),Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Male,Over 51,Slight,Self-employed,Unknown,Driving carelessly,Slight Injury
11:02:00,Morning,Thursday,31-50,Male,Junior High School,Unknown,0-1,1,Bajaj,Owner,Unknown,Unknown,Other,Two Way (Divided - Broken Line),Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,No priority to vehicle,Slight Injury
11:02:00,Morning,Thursday,31-50,Male,Junior High School,Employee,5-10,4,Public Transport,Owner,2-5 years,Unknown,Office area,Divided Road,Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Female,31-50,Slight,Self-employed,Normal,No priority to pedestrian,Slight Injury
15:55:00,Afternoon,Tuesday,51-100,Male,Elementary School,Employee,1-2,2,Lorry,Owner,5-10 years,Unknown,Office area,Two Way (Undivided),Mountainous Terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Pedestrian,Male,31-50,Slight,Driver,Normal,Changing lane to the right,Serious Injury
15:00:00,Afternoon,Wednesday,51-100,Others,Junior High School,Unknown,No License,6,Unknown,Owner,Unknown,Unknown,Office area,Other,Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Unknown,Driving carelessly,Slight Injury
20:00:00,Evening,Sunday,31-50,Male,Junior High School,Employee,10-20,5,Unknown,Owner,5-10 years,No Defect,Other,Two Way (Divided - Broken Line),Flat Road,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,18-30,Slight,Self-employed,Normal,Changing lane to the right,Slight Injury
20:00:00,Evening,Sunday,0-17,Male,High School,Owner,2-5,3,Automobile,Owner,Unknown,No Defect,Church area,Two Way (Undivided),Flat Road,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Changing lane to the right,Slight Injury
